show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s1,Movie,The Silent Sea,Choi Hang-yong,South Korea,2021-12-24,2021,TV-MA,110 min,Sci-Fi & Fantasy
s2,TV Show,Stranger Things,The Duffer Brothers,United States,2016-07-15,2016,TV-14,4 Seasons,Drama
s3,Movie,Extraction,Sam Hargrave,United States,2020-04-24,2020,R,117 min,Action & Adventure
s4,Movie,Rajma Chawal,Leena Yadav,India,2018-11-30,2018,TV-14,104 min,Comedy
s5,TV Show,Money Heist,Álex Pina,Spain,2017-05-02,2017,TV-MA,5 Seasons,Crime TV Shows
s6,Movie,The Irishman,Martin Scorsese,United States,2019-11-27,2019,R,209 min,Dramas
s7,TV Show,Sacred Games,Anurag Kashyap,India,2018-07-06,2018,TV-MA,2 Seasons,Crime TV Shows
s8,Movie,Red Notice,Rawson Marshall Thurber,United States,2021-11-12,2021,PG-13,118 min,Action & Adventure
s9,Movie,The Platform,Galder Gaztelu-Urrutia,Spain,2019-11-08,2019,TV-MA,94 min,Horror Movies
s10,TV Show,Dark,Baran bo Odar,Germany,2017-12-01,2017,TV-MA,3 Seasons,Sci-Fi & Fantasy
s11,Movie,Dangal,Nitesh Tiwari,India,2016-12-21,2016,TV-PG,161 min,Dramas
s12,TV Show,Wednesday,Tim Burton,United States,2022-11-23,2022,TV-14,1 Season,Comedy
s13,Movie,Bird Box,Susanne Bier,United States,2018-12-21,2018,R,124 min,Horror Movies
s14,Movie,RRR,S. S. Rajamouli,India,2022-05-20,2022,TV-MA,187 min,Action & Adventure
s15,TV Show,Lupin,George Kay,France,2021-01-08,2021,TV-MA,2 Seasons,Crime TV Shows